id,y_true,y_pred,absolute_error
1733316582.537136,179.0,115.06927393282328,63.93072606717672
1733316587.553552,61.0,114.23541271146016,53.23541271146016
1733316592.567016,144.0,182.84144086141268,38.84144086141268
1733316597.581007,99.0,57.49360930033755,41.50639069966245
1733316602.594654,51.0,83.06700705458265,32.067007054582646
1733316607.608367,68.0,113.11352854390736,45.113528543907364
1733316612.622083,174.0,178.55362819497498,4.553628194974976
1733316617.636548,48.0,192.59955487492226,144.59955487492226
1733316622.652263,131.0,197.04595872817097,66.04595872817097
1733316627.665057,77.0,61.99822774926005,15.001772250739947
1733316632.680671,258.0,170.67285698732016,87.32714301267984
1733316637.695,139.0,125.30004147454359,13.69995852545641
1733316642.707886,90.0,52.54173475311546,37.45826524688454
1733316647.721975,104.0,101.05531243166942,2.944687568330579
1733316652.736584,90.0,136.93198963427244,46.93198963427244
1733316657.75025,200.0,77.05659193974893,122.94340806025107
1733316662.765663,160.0,114.83926457785543,45.16073542214457
1733316667.779001,272.0,192.32195136984916,79.67804863015084
1733316672.792674,54.0,93.67244614539979,39.67244614539979
1733316677.806009,310.0,258.030719810275,51.969280189725
1733316682.818553,90.0,177.2721604731096,87.27216047310961
1733316687.832188,89.0,76.80048893276452,12.199511067235477
1733316692.846158,332.0,220.67470467262453,111.32529532737547
1733316735.218657,138.0,171.82608717603588,33.826087176035884
1733316740.232936,167.0,184.0685612435638,17.068561243563806
1733316745.247362,225.0,223.08013577465823,1.9198642253417688
1733316750.260678,151.0,206.11637746200643,55.116377462006426
1733316755.274118,178.0,128.04834082390533,49.951659176094665
1733316760.288989,252.0,166.8224015018536,85.17759849814641
1733316765.303762,52.0,61.1286680946513,9.128668094651303
1733316770.312539,258.0,291.2310232238409,33.23102322384091
1733316775.326099,58.0,165.09471401739233,107.09471401739233
1733316780.34088,220.0,198.3657597782563,21.63424022174371
1733316785.356121,163.0,213.92295234626727,50.922952346267266
1733316790.369437,200.0,144.42650416308084,55.573495836919165
1733316795.382702,53.0,82.17314606462564,29.17314606462564
1733316800.398804,85.0,58.37882693745455,26.621173062545452
1733316805.410518,52.0,61.1286680946513,9.128668094651303
1733316810.424683,216.0,170.65576194574703,45.34423805425297
1733316815.438978,92.0,123.47449269104541,31.474492691045413
1733316820.453255,44.0,126.37027691629643,82.37027691629643
1733316825.466932,103.0,141.6961149420415,38.696114942041504
1733316830.48062,90.0,143.05621637777142,53.05621637777142
1733316835.495457,95.0,146.27173897170897,51.27173897170897
1733316840.510958,268.0,225.1286032036448,42.871396796355214
1733316845.555684,90.0,143.05621637777142,53.05621637777142
1733316850.56967,69.0,100.66339134964326,31.663391349643263
1733316855.583791,64.0,89.83346357830649,25.833463578306493
